,img,type,label,confidence
445,img_00051,Label,Human,99.25245666503906
446,img_00051,Label,People,99.25244140625
447,img_00051,Label,Person,99.25245666503906
448,img_00051,Label,Blonde,85.05070495605469
449,img_00051,Label,Female,85.05070495605469
450,img_00051,Label,Girl,85.05070495605469
451,img_00051,Label,Woman,85.05070495605469
452,img_00051,Celebrity,Jill Biden,99.98279571533203
453,img_00051,Text,#Glamourwo,78.86953735351562
454,img_00051,Text,GLAMOUR,97.05561065673828
455,img_00051,Text,#Glamourwo,78.86953735351562
456,img_00051,Text,GLAMOUR,97.05561065673828
457,img_00052,Label,Human,99.2498779296875
458,img_00052,Label,People,99.2498779296875
459,img_00052,Label,Person,99.2498779296875
460,img_00052,Celebrity,Tiffany Trump,99.98744201660156
461,img_00054,Label,Human,99.3002700805664
462,img_00054,Label,People,99.3002700805664
463,img_00054,Label,Person,99.3002700805664
464,img_00054,Celebrity,Sally Phillips,99.99952697753906
465,img_00058,Label,Human,99.1341552734375
466,img_00058,Label,People,99.13414001464844
467,img_00058,Label,Person,99.1341552734375
468,img_00058,Label,Apparel,84.8464126586914
469,img_00058,Label,Clothing,84.8464126586914
470,img_00058,Text,RANG,81.30699157714844
471,img_00058,Text,RANG,81.30699157714844
472,img_00060,Label,Water,75.99979400634766
473,img_00061,Label,Human,99.1907958984375
474,img_00061,Label,People,99.1907958984375
475,img_00061,Label,Person,99.1907958984375
476,img_00061,Label,Reading,76.58476257324219
477,img_00062,Label,Human,99.20496368408203
478,img_00062,Label,People,99.20494842529297
479,img_00062,Label,Person,99.20496368408203
480,img_00063,Label,Human,99.20223999023438
481,img_00063,Label,People,99.20222473144531
482,img_00063,Label,Person,99.20223999023438
483,img_00064,Label,Human,99.02525329589844
484,img_00064,Label,People,99.02523803710938
485,img_00064,Label,Person,99.02525329589844
486,img_00064,Label,Afro Hairstyle,97.94330596923828
487,img_00064,Label,Hair,97.94330596923828
488,img_00066,Label,Human,98.55152130126953
489,img_00066,Label,People,98.55147552490234
490,img_00066,Label,Person,98.55152130126953
491,img_00066,Label,Clothing,83.03468322753906
492,img_00066,Label,Vest,83.03468322753906
493,img_00066,Label,Head,78.02464294433594
494,img_00067,Label,Human,99.31835174560547
495,img_00067,Label,People,99.31835174560547
496,img_00067,Label,Person,99.31835174560547
497,img_00067,Label,Bicycle,99.27229309082031
498,img_00067,Label,Bike,99.27229309082031
499,img_00067,Label,Transportation,99.27229309082031
500,img_00067,Label,Vehicle,99.27229309082031
501,img_00067,Label,Blonde,86.9322738647461
502,img_00067,Label,Female,86.9322738647461
503,img_00067,Label,Girl,86.9322738647461
504,img_00067,Label,Woman,86.9322738647461
505,img_00067,Label,Clothing,76.85276794433594
506,img_00067,Label,Sari,76.85276794433594
507,img_00067,Celebrity,Lauren Mayhew,99.99009704589844
508,img_00068,Label,Butter,86.63435363769531
509,img_00068,Label,Food,86.63435363769531
510,img_00068,Label,Dessert,78.86785125732422
511,img_00068,Label,Pastry,78.86785125732422
512,img_00069,Label,Human,99.27510070800781
513,img_00069,Label,People,99.27510070800781
514,img_00069,Label,Person,99.27510070800781
515,img_00069,Label,Bikini,97.81329345703125
516,img_00069,Label,Clothing,97.81329345703125
517,img_00069,Label,Swimwear,97.81329345703125
518,img_00069,Label,Face,77.2310791015625
519,img_00069,Label,Portrait,77.2310791015625
520,img_00070,Label,Human,99.2160415649414
521,img_00070,Label,People,99.21602630615234
522,img_00070,Label,Person,99.2160415649414
523,img_00070,Label,Audience,97.43473815917969
524,img_00070,Label,Crowd,97.43473815917969
525,img_00070,Label,Speech,97.43473815917969
526,img_00070,Label,Stage,87.2594985961914
527,img_00070,Label,Skin,80.39312744140625
528,img_00070,Celebrity,Colin Jost,99.99999237060547
529,img_00070,Celebrity,Chris Redd,99.99971771240234
530,img_00070,Celebrity,Michael Che,99.998046875
531,img_00070,Text,EWEEKENDU UPDATE WEEKEND UPDATE,90.4275131225586
532,img_00070,Text,WEEKE,93.17051696777344
533,img_00070,Text,EWEEKENDU,93.4916763305664
534,img_00070,Text,UPDATE,91.9716567993164
535,img_00070,Text,WEEKEND,87.66968536376953
536,img_00070,Text,UPDATE,88.57704162597656
537,img_00070,Text,WEEKE,93.17051696777344
538,img_00072,Label,Human,99.27962493896484
539,img_00072,Label,People,99.27960968017578
540,img_00072,Label,Person,99.27962493896484
541,img_00072,Celebrity,"Charles, Prince of Wales",99.99527740478516
542,img_00072,Celebrity,"Prince Philip, Duke of Edinburgh",99.9758071899414
543,img_00072,Celebrity,Elizabeth II,99.65570831298828
544,img_00072,Text,FgA,53.02485656738281
545,img_00072,Text,FgA,53.02485656738281
546,img_00073,Label,Paint Container,92.78280639648438
547,img_00073,Label,Palette,92.78280639648438
548,img_00073,Text,DESER SAND MUSK EDEN,79.32850646972656
549,img_00073,Text,AMBER OD MOON,82.43679809570312
550,img_00073,Text,CELESTIAL,88.26805114746094
551,img_00073,Text,NEFERTII ILIGHT METHYST ROYAL aOGRADE,84.96408081054688
552,img_00073,Text,ASHMEAE AUGELIC COSMO akiSH DEL,79.24537658691406
553,img_00073,Text,SAFFRON,94.6940689086914
554,img_00073,Text,LNZING,86.40718841552734
555,img_00073,Text,DESER,81.18971252441406
556,img_00073,Text,SAND,67.73480987548828
557,img_00073,Text,MUSK,83.82886505126953
558,img_00073,Text,EDEN,84.56063842773438
559,img_00073,Text,AMBER,85.52078247070312
560,img_00073,Text,CELESTIAL,88.26805114746094
561,img_00073,Text,OD MOON,79.35281372070312
562,img_00073,Text,NEFERTII,85.07618713378906
563,img_00073,Text,ILIGHT,88.79330444335938
564,img_00073,Text,METHYST,88.1943130493164
565,img_00073,Text,ASHMEAE,90.23040771484375
566,img_00073,Text,ROYAL,77.08853149414062
567,img_00073,Text,AUGELIC,81.01620483398438
568,img_00073,Text,aOGRADE,85.66804504394531
569,img_00073,Text,COSMO,75.3156509399414
570,img_00073,Text,akiSH DEL,70.41925048828125
571,img_00073,Text,SAFFRON,94.6940689086914
572,img_00073,Text,LNZING,86.40718841552734
573,img_00074,Label,Human,99.30213165283203
574,img_00074,Label,People,99.30211639404297
575,img_00074,Label,Person,99.30213165283203
576,img_00074,Celebrity,Chloë Grace Moretz,99.99136352539062
577,img_00075,Label,Human,98.90914916992188
578,img_00075,Label,People,98.90913391113281
579,img_00075,Label,Person,98.90914916992188
580,img_00075,Label,Beard,85.20668029785156
581,img_00075,Celebrity,Drake,99.97957611083984
582,img_00076,Label,Flora,96.96197509765625
583,img_00076,Label,Herbs,96.96197509765625
584,img_00076,Label,Jar,96.96197509765625
585,img_00076,Label,Mint,96.96197509765625
586,img_00076,Label,Plant,96.96197509765625
587,img_00076,Label,Planter,96.96197509765625
588,img_00076,Label,Potted Plant,96.96197509765625
589,img_00076,Label,Pottery,96.96197509765625
590,img_00076,Label,Vase,96.96197509765625
591,img_00076,Label,Crawling,90.50798797607422
592,img_00077,Label,Human,98.29635620117188
593,img_00077,Label,People,98.2962875366211
594,img_00077,Label,Person,98.29635620117188
595,img_00077,Label,Couch,90.6847915649414
596,img_00077,Label,Furniture,90.6847915649414
597,img_00077,Label,Fireplace,86.82117462158203
598,img_00077,Label,Hearth,86.82117462158203
599,img_00077,Label,Chair,86.29696655273438
600,img_00077,Text,id,67.2741928100586
601,img_00077,Text,id,67.2741928100586
602,img_00078,Label,Human,98.96592712402344
603,img_00078,Label,People,98.96590423583984
